# Сценарий 13: Одновременный отказ обоих каналов КУ (Fail-Safe)
#
# Цель: проверить поведение системы при полной потере управления КУ.
# Механизм: потеря питания 115В переменного тока переводит оба канала в FAULT_CU.
#   При active=-1 (оба отказали) → bus = fail-safe: pack=0, ofv=0.5.
#
# Ожидаемое поведение:
#   t=0..50с    — нормальный полёт: NORMAL у обоих
#   t=50с       — pwr_115v=0 → оба FAULT_CU (active_ch=-1)
#               — pack_valve_cmd=0.0, outflow_valve_cmd=0.5 (fail-safe)
#               — кабина медленно разгерметизируется (нет нагнетания)
#   t=60с       — питание восстановлено (pwr_115v=1), reset → восстановление
#   t=90с+      — система возвращается в NORMAL (оба канала)
#
# Повторный тест: более длинная потеря питания (t=160с..175с)
#   Проверяем температурный и барометрический дрейф в отсутствие регулирования.
#
# Формат: время_с,параметр,значение

# --- Начальные условия: крейсерский полёт ---
0.0,pwr_28v,1
0.0,pwr_115v,1
0.0,apu_avail,0
0.0,engine_running,1
0.0,eng_bleed_pressure,3.0
0.0,eng_bleed_temp,200.0
0.0,ram_air_temp,-50.0
0.0,ram_air_pressure,0.265
0.0,pack_switch,1
0.0,cabin_temp_setpoint,22.0
0.0,cabin_temp_initial,10.0
0.0,cabin_press_setpoint,0.753
0.0,inject_valve_jam,0
0.0,inject_line_break,0
0.0,inject_press_loss,0
0.0,inject_ch_fault,0
0.0,inject_temp_high,0

# --- t=167 с: потеря 115В → оба канала FAULT_CU (fail-safe) ---
167.0,pwr_115v,0

# --- t=200 с: питание восстановлено, сброс ---
200.0,pwr_115v,1
203.0,reset_cmd,1
207.0,reset_cmd,0

# --- t=333 с: проверяем нормальную работу после восстановления ---
333.0,cabin_temp_setpoint,21.0

# --- t=533 с: второй тест — более длинная потеря 115В (50 секунд) ---
533.0,pwr_115v,0

# --- t=583 с: восстановление питания ---
583.0,pwr_115v,1
587.0,reset_cmd,1
590.0,reset_cmd,0

# --- t=733 с: снижение ---
733.0,ram_air_temp,-20.0
733.0,ram_air_pressure,0.5
733.0,cabin_press_setpoint,0.800

# --- t=900 с: посадка ---
900.0,ram_air_temp,15.0
900.0,ram_air_pressure,1.0
933.0,engine_running,0
933.0,apu_avail,1
967.0,pack_switch,0
