# Сценарий: полный цикл работы СКВ SSJ-100
# Формат: время_с,параметр,значение
#
# --- Стоянка: питание включено, двигатели не работают ---
0.0,pwr_28v,1
0.0,pwr_115v,1
0.0,apu_avail,1
0.0,engine_running,0
0.0,eng_bleed_pressure,3.0
0.0,eng_bleed_temp,200.0
0.0,ram_air_temp,20.0
0.0,ram_air_pressure,1.013
0.0,pack_switch,0
0.0,cabin_temp_setpoint,22.0
0.0,cabin_temp_initial,10.0
0.0,cabin_press_setpoint,0.753
#
# --- t=33 с: включаем пак (AUTO) от ВСУ ---
33.0,pack_switch,1
#
# --- t=133 с: запуск двигателей, отключение ВСУ ---
133.0,engine_running,1
140.0,apu_avail,0
#
# --- t=200 с: переход на крейсерскую высоту ---
200.0,ram_air_temp,-50.0
200.0,ram_air_pressure,0.265
#
# --- t=300 с: повышаем уставку температуры ---
300.0,cabin_temp_setpoint,24.0
#
# --- t=400 с: ОТКАЗ — заклинивание пак-клапана ---
400.0,inject_valve_jam,1
#
# --- t=450 с: оператор подаёт сброс ---
450.0,inject_valve_jam,0
450.0,reset_cmd,1
453.0,reset_cmd,0
#
# --- t=500 с: ОТКАЗ — разгерметизация ---
500.0,inject_press_loss,1
#
# --- t=550 с: устранение разгерметизации, сброс ---
550.0,inject_press_loss,0
550.0,reset_cmd,1
553.0,reset_cmd,0
#
# --- t=600 с: снижение, повышение забортного давления ---
600.0,ram_air_temp,15.0
600.0,ram_air_pressure,0.8
#
# --- t=733 с: посадка, выключение двигателей ---
733.0,engine_running,0
733.0,apu_avail,1
#
# --- t=833 с: выключение пака ---
833.0,pack_switch,0
